gbifID,eventDate,year,stateProvince,species,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
4528208221,2023-12-26T15:39:27,2023.0,Québec,Ischnoderma resinosum,https://www.inaturalist.org/observations/194918906,21E,"-269001,25+153702,55",D,1AY,30.0,2,F,,,,,F,85.0,JIN,"{'EO': 0.3, 'BP': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FR': 0.1, 'TA': 0.1, 'SE': 0.1}",7,1.8343719702816235
4512358748,2023-12-19T15:40:04,2023.0,Québec,Ischnoderma resinosum,https://www.inaturalist.org/observations/196778943,21E,"-189024,97+180216,16",D,1AY,20.0,2,F,,,,,F,85.0,JIN,"{'ES': 0.5, 'EO': 0.3, 'PE': 0.2}",3,1.0296530140645737
4129768321,2020-09-26T17:38:22,2020.0,Québec,Ischnoderma resinosum,https://www.inaturalist.org/observations/62608652,21E,"-259865,98+134384,51",A,3AN,30.0,1,M,P,,,,MM,85.0,JIN,"{'EB': 0.5, 'ER': 0.2, 'FH': 0.1, 'FI': 0.1, 'FT': 0.1}",5,1.3592367006650063
5007385548,2024-10-28T15:33:50,2024.0,Québec,Ischnoderma resinosum,https://www.inaturalist.org/observations/254801132,21L,"-220960,63+309603,85",C,2A,20.0,1,M,,,,,MF,85.0,VIN,"{'FT': 0.3, 'ER': 0.2, 'PE': 0.1, 'PU': 0.3, 'PB': 0.1}",5,1.5047882836811908
4950057470,2024-09-22T14:11:29,2024.0,Québec,Ischnoderma resinosum,https://www.inaturalist.org/observations/243892124,21L,"-238274,39+320978,75",A,3AN,40.0,3,M,CT,,,,MR,75.0,30,"{'SB': 0.4, 'EU': 0.1, 'ML': 0.1, 'BG': 0.2, 'EO': 0.1, 'FN': 0.1}",6,1.6094379124341003
4506328823,2023-12-16T12:25:47,2023.0,Québec,Ischnoderma resinosum,https://www.inaturalist.org/observations/194837817,21L,"-217341,59+316151,04",B,3AN,40.0,2,F,,,,,F,65.0,VIN,"{'FN': 0.3, 'FO': 0.3, 'PE': 0.2, 'EO': 0.1, 'SE': 0.1}",5,1.5047882836811908
4442389396,2020-09-21,2020.0,Québec,Ischnoderma resinosum,https://www.inaturalist.org/observations/72356366,21L,"-204295,42+329896,47",A,3AN,40.0,2,F,,,,,F,75.0,VIN,"{'BJ': 0.4, 'EO': 0.2, 'ES': 0.1, 'PE': 0.1, 'EB': 0.1, 'SB': 0.1}",6,1.6094379124341
3988753651,2022-09-17,2022.0,Québec,Ischnoderma resinosum,https://www.inaturalist.org/observations/142531272,21L,"-216489,34+320034,95",D,5A,30.0,2,F,,,,,F,85.0,VIN,"{'ES': 0.4, 'EO': 0.3, 'BJ': 0.2, 'FI': 0.1}",4,1.2798542258336674
3302319449,2020-11-07T14:22:57,2020.0,Québec,Ischnoderma resinosum,https://www.inaturalist.org/observations/64387700,21L,"-226220,25+308602,57",A,5A,40.0,2,F,,,,,F,85.0,JIN,"{'EO': 0.4, 'FT': 0.2, 'BJ': 0.1, 'ES': 0.1, 'PU': 0.1, 'SB': 0.1}",6,1.6094379124341
1412707991,1990-09-10,1990.0,Québec,Ischnoderma resinosum,CMMF016659,21L,"-216607,95+310236,75",B,R1A,20.0,1,F,,,,,F,85.0,VIN,"{'CR': 0.4, 'ES': 0.3, 'FT': 0.2, 'EO': 0.1}",4,1.2798542258336674
